id;reg_num;expiration;mark;type;manufacturer;owner;group_name;how_to_use;atx_code;name;condition
45;DV/M 01705/08/17;29.11.2027;КАСТЕЛЯН-MF;Раствор;ООО Mediofarm Узбекистан;ООО Mediofarm Узбекистан;Антисептическое средство;Местное;D08AD;;Без рецепта
46;DV/X 05462/12/18;13.08.2030;ГИДРОПЕРИТ;Таблетки для приготовления раствора для местного и наружного применения;АО Татхимфармпрепараты Российская Федерация;АО Татхимфармпрепараты Российская Федерация;Антисептическое средство;для наружного и местного применения;D08AX01;Водорода пероксид;Без рецепта
47;DV/X 05024/09/18;07.08.2029;КЛОТРИМАЗОЛ;Суппозитории вагинальные;ООО Фармаприм Республика Молдова;ООО Фармаприм Республика Молдова;Антисептические и противомикробные средства, применяемые в гинекологии, за исключением комбинированных препаратов, содержащих кортикостероиды. Комбинации производных имидазола;Вагинально;G01AF02;Клотримазол;Без рецепта
48;DV/X 06041/03/19;28.03.2030;КЛОТРИМАЗОЛ;Таблетки вагинальные;ПАО НПЦ Борщаговский ХФЗ Украина;ПАО НПЦ Борщаговский ХФЗ Украина;Противомикробные и антисептические средства, применяемые в гинекологии. Производные имидазола;Вагинально;D01AC01;Клотримазол;Без рецепта
49;DV/X 01768/06/16;15.06.2026;Хлорофиллипт;Раствор спиртовой;"ООО Фармацевтическая компания ""Здоровье"" Украина";ООО ГНЦЛС ОЗ Украина;Антисептическое средство;Местное;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
50;DV/X 01769/06/16;15.06.2026;Хлорофиллипт;раствор масляный;"ООО Фармацевтическая компания ""Здоровье"" Украина";ООО ГНЦЛС ОЗ Украина;Антисептическое средство;Местное;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
51;DV/M 02662/07/19;Бессрочно;КЛОТРИМАЗОЛ SD;Суппозитории вагинальные;ООО Sharq Darmon Узбекистан;ООО Sharq Darmon Узбекистан;Противомикробные средства и антисептики, применяемые в гинекологии. Противомикробные средства и  антисептики, кроме комбинаций с кортикостероидами. Производные имидазола;Ректальное;G01AF02;Клотримазол;Без рецепта
52;DV/M 02190/07/18;19.07.2029;ИХТИОЛОВАЯ МАЗЬ;Мазь;ООО radiks Узбекистан;ООО radiks Узбекистан;Антисептическое и дезинфицирующее средство;Местное;D10BX01;Ихтаммол;Без рецепта
53;DV/M 02187/07/18;Бессрочно;ИХТИОЛ;Суппозитории ректальные;ООО radiks Узбекистан;ООО radiks Узбекистан;Антисептическое средство;Ректальное;D10BX01;Ихтаммол;Без рецепта
54;DV/M 02701/08/19;13.08.2029;ЛЮГОЛЯ РАСТВОР С ГЛИЦЕРИНОМ;Раствор;ООО Dentafill Plyus2 Узбекистан;ООО Dentafill Plyus2 Узбекистан;Антисептическое средство;для наружного и местного применения;D08A;Антисептики и дезинфицирующие средства;Без рецепта
55;DV/X 03328/07/17;29.06.2027;ЛЮГС;Раствор для наружного применения;ООО ДКП Фармацевтическая фабрика Украина;ООО ДКП Фармацевтическая фабрика Украина;Антисептическое средство;Местное;R02AA20;Прочие антисептики;Без рецепта
56;DV/X 06482/07/19;19.05.2030;ФАРИНГОСПРЕЙ;Спрей орофарингеальный, раствор;КП Флумед-Фарм ООО Республика Молдова;КП Флумед-Фарм ООО Республика Молдова;Антиинфекционные средства и антисептики для местного применения;Местное;A01AB12;Гексэтидин;Без рецепта
57;DV/X 03696/11/17;13.05.2029;СТРЕПСИЛС®;Таблетки для рассасывания;Reckitt Benckiser Healthcare International LTD Великобритания;Reckitt Benckiser Healthcare International LTD Великобритания;Антисептическое средство;Внутрь;R02AA03;Дихлорбензиловый спирт;Без рецепта
58;DV/X 04065/02/18;28.06.2029;СТРЕПСИЛС® С ВИТАМИНОМ С;Таблетки для рассасывания;Reckitt Benckiser Healthcare International LTD Великобритания;Reckitt Benckiser Healthcare International LTD Великобритания;Антисептическое средство;Местное;R02AA20;Прочие антисептики;Без рецепта
59;DV/X 03695/11/17;13.05.2029;СТРЕПСИЛС®;Таблетки для рассасывания;Reckitt Benckiser Healthcare International LTD Великобритания;Reckitt Benckiser Healthcare International LTD Великобритания;Антисептическое средство;Внутрь;R02AA03;Дихлорбензиловый спирт;Без рецепта
60;DV/X 03697/11/17;13.05.2029;СТРЕПСИЛС®;Таблетки для рассасывания;Reckitt Benckiser Healthcare International LTD Великобритания;Reckitt Benckiser Healthcare International LTD Великобритания;Антисептическое средство;Внутрь;R02AA03;Дихлорбензиловый спирт;Без рецепта
61;DV/X 03694/11/17;13.05.2029;СТРЕПСИЛС® Экспресс;Таблетки для рассасывания;Reckitt Benckiser Healthcare International LTD Великобритания;Reckitt Benckiser Healthcare International LTD Великобритания;Антисептическое средство;Внутрь;R02AA03;Дихлорбензиловый спирт;Без рецепта
62;DV/X 06485/07/19;15.03.2030;ИНГАЛИПТ;Спрей для местного применения, раствор;КП Флумед-Фарм ООО Республика Молдова;КП Флумед-Фарм ООО Республика Молдова;Препараты для лечения заболеваний горла. Антисептики. Прочие антисептики;Местное;R02AA20;Прочие антисептики;Без рецепта
63;DV/M 01220/12/16;14.02.2027;ФУРАЦИЛЛИН;Таблетки;ООО Lafz Узбекистан;ООО Lafz Узбекистан;Антисептическое средство;для наружного и местного применения;D08AF01;Нитрофурал;Без рецепта
64;DV/M 03717/02/21;12.02.2026;ХЛОРОФИЛЛИПТ;спрей;ООО Divapharma Узбекистан;ООО Divapharma Узбекистан;Антисептическое средство;;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
65;DV/X 05827/02/19;30.05.2030;ФУРАЦИЛИН;Таблетки для приготовления раствора для местного и наружного применения;АО Татхимфармпрепараты Российская Федерация;АО Татхимфармпрепараты Российская Федерация;Препараты, применяемые в дерматологии. Антисептики и дезинфицирующие средства. Производные нитрофурана;Местное;D08AF01;Нитрофурал;Без рецепта
66;DV/M 03813/05/21;25.05.2026;ХЛОРОФИЛЛИПТ-PCM;Раствор спиртовой;ООО Pharmacom Medicine Узбекистан;ООО Pharmacom Medicine Узбекистан;Антисептическое средство;;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
67;DV/M 03754/03/21;19.03.2026;ДЕНТОРОМ;Гель для местного применения;ООО Pharmacon LLC Узбекистан;ООО Pharmacon LLC Узбекистан;Антисептическое средство;;A01AD11;Прочие препараты;Без рецепта
68;DV/M 03659/02/21;02.02.2026;БОРНАЯ КИСЛОТА;Раствор спиртовой;ООО Ferghana Invicta Pharm Узбекистан;ООО Ferghana Invicta Pharm Узбекистан;Антисептическое средство;;D08AD;;Без рецепта
69;DV/M 03832/06/21;15.06.2026;БОРНАЯ КИСЛОТА;Раствор спиртовой;ООО Pharmacom Medicine Узбекистан;ООО Pharmacom Medicine Узбекистан;Антисептическое средство;;D08AD;;Без рецепта
70;DV/M 03781/04/21;09.04.2026;ЙОД;Раствор спиртовой;ЧП Ra'no diagnostika va davolash markazi Узбекистан;ЧП Ra'no diagnostika va davolash markazi Узбекистан;Антисептическое средство;;D08AG03;Йод;Без рецепта
71;DV/X 02594/02/17;14.02.2027;Хлорофиллипт;спрей;"ООО Фармацевтическая компания ""Здоровье"" Украина";ООО УКРФАРМЭКСПОРТ Украина;Антисептическое средство;Местное;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
72;DV/X 09125/07/21;16.07.2026;ТОЕДИН ГИНО;Суппозитории вагинальные;LTD Bliss GVS Pharma Индия;VEGAPHARM LIFE SCIENCES Pvt. Ltd. Индия;Антисептическое средство;;G01AX11;Повидон-йод;Без рецепта
73;DV/X 01737/06/21;15.06.2026;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;ПАО НПЦ Борщаговский ХФЗ Украина;ПАО НПЦ Борщаговский ХФЗ Украина;Антисептическое и дезинфицирующее средство;Накожное введение (наружное);;;Без рецепта
74;DV/M 03897/09/21;10.09.2026;Йод;Раствор спиртовой;ООО TANDEM PHARM MCHJ Узбекистан;ООО TANDEM PHARM MCHJ Узбекистан;Антисептическое средство;Для наружного применения;;;Без рецепта
75;DV/M 03862/08/21;18.08.2026;БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ;Раствор спиртовой;ООО TANDEM PHARM MCHJ Узбекистан;ООО TANDEM PHARM MCHJ Узбекистан;Антисептическое средство;Для наружного применения;;;Без рецепта
76;DV/M 03886/09/21;10.09.2026;Сироп солодкового корня;Сироп;ООО TANDEM PHARM MCHJ Узбекистан;ООО TANDEM PHARM MCHJ Узбекистан;Антисептическое средство;Внутрь;;;Без рецепта
